county_name,year,traffic_count
Jefferson,2022,7
King,2022,150
Kitsap,2022,22
Kittitas,2022,14
Klickitat,2022,8
Lewis,2022,9
Lincoln,2022,1
Mason,2022,19
Okanogan,2022,11
Pacific,2022,7
Pend Oreille,2022,5
Pierce,2022,87
San Juan,2022,1
Skagit,2022,16
Skamania,2022,6
Snohomish,2022,58
Spokane,2022,41
Stevens,2022,7
Thurston,2022,17
Wahkiakum,2022,0
Walla Walla,2022,10
Whatcom,2022,16
Whitman,2022,2
Yakima,2022,50
